Feature,Importance
OUTAGE.RESTORATION.TIME_11:53:00 AM,0.1717035776048401
DEMAND.LOSS.MW_378,0.15755151845069407
COM.SALES_2089309,0.1369570332231254
RES.PRICE_21.69,0.09224559277718786
OUTAGE.RESTORATION.TIME_7:47:00 PM,0.0643162795097668
CAUSE.CATEGORY_severe weather,0.06117679845837282
RES.CUST.PCT_89.4420,0.05705963902514264
COM.SALES_2789455,0.04942279454186564
"OUTAGE.START.DATE_Friday, September 12, 2008",0.03208718804175648
CAUSE.CATEGORY_fuel supply emergency,0.02848250011956372
OBS,0.027410506899083448
CUSTOMERS.AFFECTED,0.018745853254153007
UTIL.CONTRI_2.352912621,0.014505382451094263
"OUTAGE.RESTORATION.DATE_Friday, June 18, 2010",0.01403051931995333
"OUTAGE.START.DATE_Wednesday, January 28, 2009",0.013459141530061156
"OUTAGE.RESTORATION.DATE_Thursday, April 10, 2014",0.011904780200742208
"OUTAGE.START.DATE_Monday, October 29, 2012",0.010434113711844389
IND.CUSTOMERS,0.009641016328597297
PI.UTIL.OFUSA_0.7,0.008734269967845619
IND.PRICE_5.72,0.005839130915676119
IND.PERCEN_11.0476506,0.005812300723959094
"OUTAGE.START.DATE_Saturday, December 13, 2008",0.0035602849153010744
PC.REALGSP.STATE_53824,0.0028477883626334332
"OUTAGE.RESTORATION.DATE_Monday, August 29, 2011",0.001380152100179915
RES.PERCEN_34.8753718,0.000362208611767924
NERC.REGION_NPCC,0.00019157301045899958
HURRICANE.NAMES_Ike,9.252538363162754e-05
DEMAND.LOSS.MW_300,2.5387220364269454e-05
COM.PERCEN_35.28222882,2.014334033715107e-05
COM.PERCEN_31.55900488,0.0
COM.PERCEN_30.34233811,0.0
COM.PERCEN_30.1343288,0.0
COM.PERCEN_30.1371617,0.0
COM.PERCEN_30.16799998,0.0
COM.PERCEN_31.81462151,0.0
COM.PERCEN_30.18404963,0.0
COM.PERCEN_30.21006961,0.0
COM.PERCEN_30.2546822,0.0
COM.PERCEN_30.26266928,0.0
COM.PERCEN_30.28038518,0.0
COM.PERCEN_30.31383345,0.0
COM.PERCEN_31.80631888,0.0
COM.PERCEN_30.33786707,0.0
COM.PERCEN_31.76118236,0.0
COM.PERCEN_30.0960386,0.0
COM.PERCEN_30.34403166,0.0
COM.PERCEN_30.37027193,0.0
COM.PERCEN_30.42173678,0.0
COM.PERCEN_30.42986488,0.0
COM.PERCEN_31.74188315,0.0
COM.PERCEN_30.44398262,0.0
COM.PERCEN_30.48050943,0.0
COM.PERCEN_30.48392166,0.0
COM.PERCEN_30.5030607,0.0
COM.PERCEN_30.50752276,0.0
COM.PERCEN_30.51833982,0.0
COM.PERCEN_30.51962506,0.0
COM.PERCEN_30.12611569,0.0
COM.PERCEN_30.09230326,0.0
COM.PERCEN_31.73061887,0.0
COM.PERCEN_29.75310969,0.0
COM.PERCEN_29.38180893,0.0
COM.PERCEN_29.4193227,0.0
COM.PERCEN_29.42957179,0.0
COM.PERCEN_29.4803114,0.0
COM.PERCEN_29.56707954,0.0
COM.PERCEN_29.57462473,0.0
COM.PERCEN_29.58051208,0.0
COM.PERCEN_29.5861825,0.0
COM.PERCEN_29.58852845,0.0
COM.PERCEN_29.60248605,0.0
COM.PERCEN_29.66480768,0.0
COM.PERCEN_29.67863954,0.0
COM.PERCEN_29.75609623,0.0
COM.PERCEN_30.07159013,0.0
COM.PERCEN_29.79812081,0.0
COM.PERCEN_29.79850421,0.0
COM.PERCEN_29.86712769,0.0
COM.PERCEN_29.87802781,0.0
COM.PERCEN_29.8821446,0.0
COM.PERCEN_29.88448501,0.0
COM.PERCEN_30.00923285,0.0
COM.PERCEN_31.83759708,0.0
COM.PERCEN_30.0322607,0.0
COM.PERCEN_30.03947461,0.0
COM.PERCEN_30.04074979,0.0
COM.PERCEN_31.81749485,0.0
COM.PERCEN_30.53369362,0.0
COM.PERCEN_30.57674863,0.0
COM.PERCEN_31.52387447,0.0
COM.PERCEN_31.36141936,0.0
COM.PERCEN_31.07439079,0.0
COM.PERCEN_31.08767543,0.0
COM.PERCEN_31.08901863,0.0
COM.PERCEN_31.15679218,0.0
COM.PERCEN_31.1631132,0.0
COM.PERCEN_31.17032913,0.0
COM.PERCEN_31.2610974,0.0
